Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Brazil,2020-01-01,0,0,0,
Brazil,2020-01-04,,,,0
Brazil,2020-01-05,,,,0
Brazil,2020-01-06,0,0,0,0
Brazil,2020-01-07,,,,0
Brazil,2020-01-08,,,,0
Brazil,2020-01-09,,,,0
Brazil,2020-01-10,,,,0
Brazil,2020-01-11,,,,0
Brazil,2020-01-12,,,,0
Brazil,2020-01-13,0,0,0,0
Brazil,2020-01-14,,,,0
Brazil,2020-01-15,,,,0
Brazil,2020-01-16,,,,0
Brazil,2020-01-17,,,,0
Brazil,2020-01-18,,,,0
Brazil,2020-01-19,,,,0
Brazil,2020-01-20,0,0,0,0
Brazil,2020-01-21,,,,0
Brazil,2020-01-22,,,,0
Brazil,2020-01-23,,,,0
Brazil,2020-01-24,,,,0
Brazil,2020-01-25,,,,0
Brazil,2020-01-26,,,,0
Brazil,2020-01-27,-0.07651298,-0.07651298,-0.07651298,0
Brazil,2020-01-28,,,,0
Brazil,2020-01-29,,,,0
Brazil,2020-01-30,,,,0
Brazil,2020-01-31,,,,0
Brazil,2020-02-01,,,,0
Brazil,2020-02-02,,,,0
Brazil,2020-02-03,-0.022366336,-0.022366336,-0.022366336,0
Brazil,2020-02-04,,,,0
Brazil,2020-02-05,,,,0
Brazil,2020-02-06,,,,0
Brazil,2020-02-07,,,,0
Brazil,2020-02-08,,,,0
Brazil,2020-02-09,,,,0
Brazil,2020-02-10,0.03178031,0.03178031,0.03178031,0
Brazil,2020-02-11,,,,0
Brazil,2020-02-12,,,,0
Brazil,2020-02-13,,,,0
Brazil,2020-02-14,,,,0
Brazil,2020-02-15,,,,0
Brazil,2020-02-16,,,,0
Brazil,2020-02-17,0.08592696,0.08592696,0.08592696,0
Brazil,2020-02-18,,,,0
Brazil,2020-02-19,,,,0
Brazil,2020-02-20,,,,0
Brazil,2020-02-21,,,,0
Brazil,2020-02-22,,,,0
Brazil,2020-02-23,,,,0
Brazil,2020-02-24,0.1400736,0.1400736,0.1400736,0
Brazil,2020-02-25,,,,0
Brazil,2020-02-26,,,,0
Brazil,2020-02-27,,,,0
Brazil,2020-02-28,,,,0
Brazil,2020-02-29,,,,0
Brazil,2020-03-01,,,,0
Brazil,2020-03-02,0.65423715,0.65423715,0.65423715,0
Brazil,2020-03-03,,,,0
Brazil,2020-03-04,,,,0
Brazil,2020-03-05,,,,0
Brazil,2020-03-06,,,,0
Brazil,2020-03-07,,,,0
Brazil,2020-03-08,,,,0
Brazil,2020-03-09,1.1684006,1.1684006,1.1684006,0
Brazil,2020-03-10,,,,0
Brazil,2020-03-11,,,,0
Brazil,2020-03-12,,,,0
Brazil,2020-03-13,,,,0
Brazil,2020-03-14,,,,0
Brazil,2020-03-15,,,,0
Brazil,2020-03-16,1.6825641,1.6825641,1.6825641,0
Brazil,2020-03-17,,,,0
Brazil,2020-03-18,,,,0
Brazil,2020-03-19,,,,0.0004754968
Brazil,2020-03-20,,,,0.0019019872
Brazil,2020-03-21,,,,0.0019019872
Brazil,2020-03-22,,,,0.005230465
Brazil,2020-03-23,2.1967278,2.1967278,2.1967278,0.005230465
Brazil,2020-03-24,,,,0.01188742
Brazil,2020-03-25,,,,0.016166892
